model_id,random_date,reference_id
8574,2020-10-15,100
8575,2020-02-14,0
8576,2021-01-05,0
8576,2021-11-30,0
8577,2021-05-04,100
8578,2020-05-15,100
8578,2021-06-15,0
8579,2020-05-27,0
8584,2020-07-09,100
8587,2022-03-19,0
8596,2021-02-18,100
8600,2020-02-19,0
8601,2020-07-19,0
8601,2021-04-29,0
8601,2022-02-01,100
8604,2021-02-01,0
8605,2020-05-18,0
8607,2020-03-12,0
8607,2020-10-22,100
8612,2020-12-09,100
8616,2022-01-28,100
8619,2020-04-29,100
8625,2021-05-14,0
8629,2020-05-22,100
8634,2020-01-27,0
8635,2021-10-22,0
8637,2020-03-31,100
8638,2022-03-30,100
8639,2020-02-16,100
8644,2020-03-14,0
8644,2020-05-09,0
8646,2020-02-11,100
8649,2021-08-29,0
8651,2020-11-05,100
8657,2021-09-08,0
8657,2021-10-03,100
8659,2020-10-13,0
8664,2020-03-05,100
8665,2021-10-15,0
8667,2021-10-25,0
8668,2020-05-18,0
8668,2021-03-24,0
8670,2022-03-05,100
8671,2021-12-28,0
8672,2021-08-13,0
8673,2021-01-16,100
8673,2022-01-18,100
8677,2021-06-28,100
8678,2021-07-19,0
8678,2021-10-05,0
8679,2020-07-14,100
8681,2021-04-26,100
8682,2021-05-15,100
8682,2021-06-07,0
8682,2021-06-14,100
8684,2020-07-01,100
8684,2021-04-29,100
8684,2021-09-11,0
8687,2021-10-31,0
8691,2021-03-01,100
8692,2020-01-05,100
8692,2022-02-10,0
8700,2020-10-09,100
8700,2022-04-11,0
8701,2022-03-29,0
8703,2020-01-07,100
8704,2020-08-07,0
8704,2021-01-14,100
8705,2020-08-28,0
8709,2020-06-15,0
8709,2021-08-01,100
8710,2021-09-28,0
8711,2020-06-10,0
8712,2021-12-06,100
8715,2022-04-11,0
8727,2021-10-05,0
8728,2021-10-09,0
8733,2020-10-09,0
8741,2022-04-06,0
8742,2020-03-25,100
8743,2021-05-02,100
8745,2020-05-25,100
8747,2020-03-15,100
8749,2020-04-15,0
8749,2020-05-27,0
8751,2020-12-19,0
8757,2021-09-10,0
8758,2022-04-23,0
8760,2020-11-14,100
8760,2022-03-17,0
8763,2020-09-01,100
8767,2021-10-02,100
8767,2022-01-17,0
8769,2022-04-26,100
8771,2022-03-28,0
8772,2020-12-09,0
8773,2020-06-20,0
8774,2020-04-25,100
8774,2021-03-02,100
8777,2021-08-31,100
8780,2021-11-25,0
8781,2020-12-24,100
8783,2021-01-18,0
8785,2021-07-07,100
8785,2022-01-28,0
8786,2020-01-14,100
8786,2020-10-26,100
8790,2021-10-15,100
8794,2021-09-25,0
8795,2021-11-03,0
8797,2021-05-29,0
8802,2021-02-27,100
8804,2020-06-20,100
8810,2021-10-22,0
8811,2020-12-28,100
8823,2020-02-13,100
8824,2021-07-19,0
8825,2020-06-05,100
8826,2020-05-05,0
8828,2020-08-27,100
8830,2022-02-08,0
8840,2020-07-17,0
8843,2020-12-23,100
8847,2021-06-03,100
8850,2021-02-25,0
8851,2020-09-07,100
8861,2020-07-22,100
8861,2021-10-09,100
8862,2021-11-28,100
8873,2021-07-12,100
8874,2020-09-20,100
8874,2021-08-16,0
8876,2022-03-05,100
8877,2020-03-29,0
8877,2020-11-11,100
8877,2022-01-24,0
8879,2020-11-30,100
8882,2020-03-03,0
8883,2020-08-10,100
8887,2020-01-30,100
8889,2020-12-12,0
8891,2021-01-18,100
8894,2021-06-14,100
8896,2021-08-12,0
8897,2020-06-06,100
8899,2020-11-06,100
8901,2022-02-11,100
8903,2021-02-06,0
8905,2020-02-14,100
8906,2020-12-14,100
8908,2021-07-19,0
8909,2021-09-22,100
8913,2021-03-20,0
8916,2022-02-22,100
8917,2021-05-07,0
8918,2020-10-24,100
8919,2020-10-03,0
8921,2021-12-18,0
8923,2020-10-22,0
8927,2021-03-17,0
8930,2021-07-25,0
8931,2020-05-06,0
8947,2021-06-29,0
8948,2020-04-29,100
8953,2020-03-30,0
8957,2021-11-26,100
8960,2020-02-16,0
8960,2021-04-25,0
8967,2022-02-27,100
8969,2021-03-16,0
8969,2021-04-29,100
8972,2021-01-27,100
8972,2021-09-26,100
8978,2021-09-04,0
8980,2021-10-20,100
8983,2020-08-31,0
8986,2021-01-10,0
8987,2021-06-21,100
8991,2021-07-20,100
8993,2021-01-15,0
8994,2020-09-06,100
8996,2021-02-17,100
8998,2020-07-14,0
9001,2021-09-24,0
9003,2020-05-07,0
9005,2021-08-26,100
9006,2020-04-02,100
9006,2021-08-11,0
9010,2021-06-09,0
9018,2020-10-09,100
9020,2020-01-12,100
9020,2021-02-12,100
9028,2021-08-17,0
9028,2021-09-14,0
9037,2022-04-19,0
9038,2021-03-07,100
9040,2020-11-18,100
9041,2021-10-21,0
9042,2021-08-14,100
9046,2022-01-09,0
9051,2021-07-24,0
9051,2021-08-24,0
9053,2020-03-24,0
9058,2021-03-27,0
9062,2021-12-26,0
9065,2020-03-01,100
9066,2020-05-20,0
9068,2020-04-29,100
9068,2020-07-29,100
9070,2021-04-19,0
9070,2021-05-10,100
9070,2021-06-08,100
9071,2020-05-10,0
9071,2020-07-22,100
9072,2020-07-29,100
9073,2021-03-20,100
9075,2020-01-18,100
9075,2020-06-03,100
9076,2022-04-16,0
9078,2021-07-13,100
9082,2020-06-12,0
9083,2021-04-01,0
9083,2021-07-28,100
9085,2020-02-26,0
9085,2020-06-18,0
9090,2020-03-23,100
9098,2021-11-20,0
9101,2020-08-08,100
9102,2020-03-11,100
9102,2020-04-04,0
9103,2021-09-13,100
9108,2020-09-06,0
9112,2020-03-11,0
9112,2020-12-08,100
9113,2022-01-23,100
9114,2020-09-28,100
9117,2021-11-01,100
9122,2021-12-03,0
9125,2020-04-11,100
9126,2020-06-16,100
9127,2021-08-22,0
9131,2022-02-28,0
9132,2020-10-01,0
9132,2020-11-28,100
9132,2021-12-29,100
9136,2021-11-26,0
9138,2022-04-01,0
9140,2021-12-16,100
9143,2022-01-23,100
9143,2022-01-31,0
9145,2021-01-17,100
9145,2021-10-24,100
9146,2020-06-20,100
9148,2020-04-06,0
9148,2022-02-14,100
9149,2020-08-05,100
9150,2021-06-06,100
9151,2021-04-12,0
9151,2021-05-19,0
9152,2020-05-24,100
9157,2021-08-04,100
9164,2020-03-13,100
9165,2021-04-06,0
9166,2021-06-16,100
9169,2020-02-23,100
9173,2021-04-20,0
9174,2020-09-26,100
9174,2021-06-30,0
9175,2020-04-02,0
9178,2020-02-16,0
9178,2021-01-30,100
9181,2022-01-12,0
9184,2022-02-11,100
9185,2022-03-19,100
9191,2020-08-21,0
9199,2020-09-26,100
9205,2020-12-21,100
9205,2022-01-11,100
9207,2020-12-11,100
9209,2022-03-20,0
9212,2021-04-18,0
9215,2020-01-02,100
9218,2020-03-13,0
9221,2020-02-21,0
9222,2020-08-20,0
9223,2021-01-20,100
9227,2020-05-24,0
9231,2021-08-02,100
9232,2020-04-02,0
9234,2021-07-03,100
9236,2020-08-31,100
9239,2020-12-26,0
9240,2020-06-27,0
9240,2020-08-21,0
