model_id,random_date,times_sell
25027,2021-09-16,5
25268,2022-02-20,5
25313,2021-03-25,6
25353,2021-02-07,5
25421,2020-12-20,5
25689,2021-04-30,5
25831,2020-10-28,5
25896,2021-12-18,5
26027,2021-08-09,5
26101,2021-12-16,5
26306,2020-01-26,6
26326,2021-10-12,5
26414,2021-04-07,5
26497,2020-09-06,5
26542,2020-07-26,5
26551,2021-06-21,5
26656,2020-06-30,5
26661,2021-10-29,6
26705,2021-07-21,5
26808,2020-08-26,5
26946,2021-04-05,5
26990,2021-10-27,5
27011,2021-05-12,5
34826,2020-07-06,5
34870,2021-05-10,5
35045,2020-10-07,6
35057,2022-01-28,5
16387,2021-03-08,5
16410,2020-07-16,5
16534,2020-08-14,5
16641,2022-04-28,5
16749,2021-08-21,5
16866,2020-08-19,5
16897,2020-07-11,5
16951,2022-02-03,6
17005,2021-10-08,5
17137,2021-09-07,5
17164,2020-09-17,5
17195,2020-09-25,5
17328,2021-04-13,5
17353,2020-01-21,6
17394,2020-07-13,5
17451,2021-12-08,5
17486,2020-09-10,5
17735,2021-12-09,5
17863,2020-04-17,5
17881,2020-06-12,5
17883,2020-06-15,5
18033,2021-01-21,5
18106,2021-06-02,5
18196,2021-12-30,5
18209,2022-04-28,5
18385,2021-03-27,5
18548,2021-09-20,5
18658,2020-07-29,5
18674,2021-08-23,5
18791,2021-05-06,5
18815,2020-11-30,5
18827,2020-11-18,5
19118,2022-03-13,5
19335,2020-02-28,5
19513,2020-12-10,5
19613,2021-12-11,5
19619,2020-10-09,5
9174,2022-03-31,5
9268,2020-12-06,6
9389,2021-04-20,5
9716,2020-10-22,6
9766,2020-11-28,6
9786,2021-11-05,5
9831,2021-02-08,5
9848,2021-07-30,5
9974,2020-07-02,6
10039,2021-11-29,5
10155,2022-03-28,5
10264,2021-04-26,5
10287,2022-01-25,5
10390,2021-08-11,5
10402,2020-09-05,5
10785,2020-05-09,5
10799,2021-06-04,5
10817,2021-09-03,5
10982,2020-10-31,5
11218,2020-09-30,5
11330,2020-12-21,5
11330,2021-07-21,5
11400,2020-08-03,5
11435,2020-06-17,5
11456,2021-11-06,6
11531,2022-01-10,5
11675,2021-02-03,5
11678,2021-04-23,5
11713,2021-01-08,5
11825,2021-05-07,5
11937,2020-10-04,5
11996,2020-06-29,5
99,2021-07-06,5
141,2022-01-09,5
150,2021-11-21,5
160,2020-08-28,5
191,2020-04-07,5
230,2022-02-15,5
389,2020-02-13,5
456,2021-12-06,5
636,2022-03-10,5
686,2021-07-22,5
882,2022-03-30,5
887,2021-11-15,5
936,2020-09-16,5
947,2021-08-10,5
1021,2021-07-31,5
1139,2021-11-28,5
1214,2022-02-02,5
1249,2021-11-09,5
1295,2022-03-03,5
1301,2021-05-01,5
1348,2020-05-27,6
1357,2020-01-09,5
1444,2020-09-05,5
1548,2021-05-28,5
1591,2020-06-07,5
1655,2022-03-15,5
1664,2020-10-17,5
1664,2022-04-27,5
1788,2021-05-27,5
1861,2021-02-13,7
1929,2020-10-22,5
1999,2020-02-06,5
2039,2020-12-19,5
2115,2020-11-02,5
2204,2020-02-15,5
2287,2021-05-25,5
2362,2021-09-22,6
2430,2022-04-01,6
2752,2020-07-10,5
2792,2020-02-09,5
2838,2020-11-10,5
2857,2021-09-26,5
2859,2021-02-21,5
3140,2021-05-05,5
3155,2020-04-02,5
3187,2021-08-04,5
3206,2020-11-11,7
3266,2021-12-29,6
3371,2020-02-07,5
3409,2020-09-29,5
3538,2021-10-15,5
3670,2021-06-21,5
3887,2022-01-24,6
19885,2020-10-21,5
19908,2020-04-30,5
19929,2021-02-10,6
19996,2020-01-14,5
20117,2020-03-01,5
20444,2022-04-09,6
20767,2020-04-11,5
20948,2021-10-25,5
21005,2020-12-20,5
21026,2022-01-11,5
21042,2022-01-02,5
21100,2020-06-04,5
21143,2020-04-09,5
21204,2021-05-05,5
21505,2022-04-12,5
21647,2020-09-17,5
21647,2020-11-02,5
21647,2021-12-19,5
21651,2020-03-03,5
21669,2020-08-09,5
21700,2021-06-08,5
21819,2020-10-25,5
21895,2021-07-19,5
21931,2021-05-21,5
21970,2021-10-02,5
22059,2021-02-14,6
22134,2020-08-19,5
22249,2020-09-07,5
22258,2021-07-22,5
22405,2021-09-19,5
22407,2022-04-19,5
22466,2022-04-25,5
22509,2020-03-07,5
22552,2021-02-21,5
22654,2021-07-30,6
22664,2021-10-12,5
22903,2020-07-26,5
23230,2020-01-29,6
23240,2021-05-01,6
23278,2022-04-06,5
23285,2021-07-01,5
23296,2021-02-01,5
23343,2020-05-21,5
23378,2020-01-21,5
23425,2020-09-29,5
23445,2021-07-07,8
23467,2020-11-17,5
23524,2020-05-04,5
23572,2021-07-22,5
35208,2022-03-17,5
35230,2020-11-23,5
35288,2021-06-13,5
35354,2020-11-21,5
35497,2021-08-11,5
35641,2021-07-18,5
35726,2020-09-01,5
36117,2021-12-11,5
36284,2021-07-04,5
36351,2020-03-12,5
36655,2020-09-14,5
36725,2022-03-08,5
36736,2021-05-22,5
36795,2021-07-28,5
36823,2020-05-04,5
36834,2021-07-22,5
37094,2020-06-11,5
37139,2020-07-01,5
37241,2020-08-09,5
37356,2022-03-04,5
37394,2022-02-20,5
37450,2020-11-18,6
37582,2021-03-19,5
37637,2022-04-04,5
37777,2020-09-21,5
38057,2020-08-07,5
38119,2020-03-14,5
38192,2020-09-28,7
38214,2020-05-21,5
38344,2020-05-26,6
38393,2020-03-11,5
38405,2021-11-16,6
38422,2020-06-23,7
